Date,USDJPYEXClose,USDJPYHSRatio,,USD HS,JPY HS
1/1/22,115.17,38.27252378,,"1,787","68,393"
1/2/22,115.17,38.27252378,,"1,787","68,393"
1/3/22,115.27,38.27252378,,"1,787","68,393"
1/4/22,116.12,38.27252378,,"1,787","68,393"
1/5/22,115.91,38.27252378,,"1,787","68,393"
1/6/22,115.78,38.27252378,,"1,787","68,393"
1/7/22,115.61,38.27252378,,"1,787","68,393"
1/8/22,115.61,38.27252378,,"1,787","68,393"
1/9/22,115.61,38.27252378,,"1,787","68,393"
1/10/22,115.14,38.27252378,,"1,787","68,393"
1/11/22,115.38,38.27252378,,"1,787","68,393"
1/12/22,114.74,38.27252378,,"1,787","68,393"
1/13/22,114.06,38.27252378,,"1,787","68,393"
1/14/22,113.89,38.27252378,,"1,787","68,393"
1/15/22,113.89,38.27252378,,"1,787","68,393"
1/16/22,113.89,38.27252378,,"1,787","68,393"
1/17/22,113.89,38.27252378,,"1,787","68,393"
1/18/22,114.6,38.27252378,,"1,787","68,393"
1/19/22,114.28,38.27252378,,"1,787","68,393"
1/20/22,114.08,38.27252378,,"1,787","68,393"
1/21/22,113.72,38.27252378,,"1,787","68,393"
1/22/22,113.72,38.27252378,,"1,787","68,393"
1/23/22,113.72,38.27252378,,"1,787","68,393"
1/24/22,113.82,38.27252378,,"1,787","68,393"
1/25/22,113.88,38.27252378,,"1,787","68,393"
1/26/22,114.33,38.27252378,,"1,787","68,393"
1/27/22,115.47,38.27252378,,"1,787","68,393"
1/28/22,115.21,38.27252378,,"1,787","68,393"
1/29/22,115.21,38.27252378,,"1,787","68,393"
1/30/22,115.21,38.27252378,,"1,787","68,393"
1/31/22,115.22,35.7639305,,"1,669","59,690"
2/1/22,114.77,35.7639305,,"1,669","59,690"
2/2/22,114.36,35.7639305,,"1,669","59,690"
2/3/22,114.88,35.7639305,,"1,669","59,690"
2/4/22,115.22,35.7639305,,"1,669","59,690"
2/5/22,115.22,35.7639305,,"1,669","59,690"
2/6/22,115.22,35.7639305,,"1,669","59,690"
2/7/22,115.09,35.7639305,,"1,669","59,690"
2/8/22,115.62,35.7639305,,"1,669","59,690"
2/9/22,115.44,35.7639305,,"1,669","59,690"
2/10/22,115.84,35.7639305,,"1,669","59,690"
2/11/22,115.91,35.7639305,,"1,669","59,690"
2/12/22,115.91,35.7639305,,"1,669","59,690"
2/13/22,115.91,35.7639305,,"1,669","59,690"
2/14/22,115.72,35.7639305,,"1,669","59,690"
2/15/22,115.64,35.7639305,,"1,669","59,690"
2/16/22,115.41,35.7639305,,"1,669","59,690"
2/17/22,115.03,35.7639305,,"1,669","59,690"
2/18/22,115.08,35.7639305,,"1,669","59,690"
2/19/22,115.08,35.7639305,,"1,669","59,690"
2/20/22,115.08,35.7639305,,"1,669","59,690"
2/21/22,115.08,35.7639305,,"1,669","59,690"
2/22/22,114.94,35.7639305,,"1,669","59,690"
2/23/22,115.12,35.7639305,,"1,669","59,690"
2/24/22,115.45,35.7639305,,"1,669","59,690"
2/25/22,115.62,35.7639305,,"1,669","59,690"
2/26/22,115.62,35.7639305,,"1,669","59,690"
2/27/22,115.62,35.7639305,,"1,669","59,690"
2/28/22,115.11,36.48447205,,"1,771","64,614"
3/1/22,114.87,36.48447205,,"1,771","64,614"
3/2/22,115.59,36.48447205,,"1,771","64,614"
3/3/22,115.67,36.48447205,,"1,771","64,614"
3/4/22,114.65,36.48447205,,"1,771","64,614"
3/5/22,114.65,36.48447205,,"1,771","64,614"
3/6/22,114.65,36.48447205,,"1,771","64,614"
3/7/22,115.41,36.48447205,,"1,771","64,614"
3/8/22,115.64,36.48447205,,"1,771","64,614"
3/9/22,115.87,36.48447205,,"1,771","64,614"
3/10/22,116.05,36.48447205,,"1,771","64,614"
3/11/22,117.08,36.48447205,,"1,771","64,614"
3/12/22,117.08,36.48447205,,"1,771","64,614"
3/13/22,117.08,36.48447205,,"1,771","64,614"
3/14/22,118,36.48447205,,"1,771","64,614"
3/15/22,118.19,36.48447205,,"1,771","64,614"
3/16/22,118.48,36.48447205,,"1,771","64,614"
3/17/22,118.45,36.48447205,,"1,771","64,614"
3/18/22,119.17,36.48447205,,"1,771","64,614"
3/19/22,119.17,36.48447205,,"1,771","64,614"
3/20/22,119.17,36.48447205,,"1,771","64,614"
3/21/22,119.15,36.48447205,,"1,771","64,614"
3/22/22,120.66,36.48447205,,"1,771","64,614"
3/23/22,121.02,36.48447205,,"1,771","64,614"
3/24/22,122.08,36.48447205,,"1,771","64,614"
3/25/22,121.98,36.48447205,,"1,771","64,614"
3/26/22,121.98,36.48447205,,"1,771","64,614"
3/27/22,121.98,36.48447205,,"1,771","64,614"
3/28/22,123.25,36.48447205,,"1,771","64,614"
3/29/22,122.61,36.48447205,,"1,771","64,614"
3/30/22,121.97,36.48447205,,"1,771","64,614"
3/31/22,121.44,44.43666083,,"1,713","76,120"
4/1/22,122.6,44.43666083,,"1,713","76,120"
4/2/22,122.6,44.43666083,,"1,713","76,120"
4/3/22,122.6,44.43666083,,"1,713","76,120"
4/4/22,122.7,44.43666083,,"1,713","76,120"
4/5/22,123.48,44.43666083,,"1,713","76,120"
4/6/22,123.7,44.43666083,,"1,713","76,120"
4/7/22,123.8,44.43666083,,"1,713","76,120"
4/8/22,124.31,44.43666083,,"1,713","76,120"
4/9/22,124.31,44.43666083,,"1,713","76,120"
4/10/22,124.31,44.43666083,,"1,713","76,120"
4/11/22,125.55,44.43666083,,"1,713","76,120"
4/12/22,125.25,44.43666083,,"1,713","76,120"
4/13/22,125.51,44.43666083,,"1,713","76,120"
4/14/22,125.92,44.43666083,,"1,713","76,120"
4/15/22,126.31,44.43666083,,"1,713","76,120"
4/16/22,126.31,44.43666083,,"1,713","76,120"
4/17/22,126.31,44.43666083,,"1,713","76,120"
4/18/22,126.77,44.43666083,,"1,713","76,120"
4/19/22,128.55,44.43666083,,"1,713","76,120"
4/20/22,127.76,44.43666083,,"1,713","76,120"
4/21/22,128.62,44.43666083,,"1,713","76,120"
4/22/22,128.78,44.43666083,,"1,713","76,120"
4/23/22,128.78,44.43666083,,"1,713","76,120"
4/24/22,128.78,44.43666083,,"1,713","76,120"
4/25/22,127.66,44.43666083,,"1,713","76,120"
4/26/22,127.37,44.43666083,,"1,713","76,120"
4/27/22,128.44,44.43666083,,"1,713","76,120"
4/28/22,130.94,44.43666083,,"1,713","76,120"
4/29/22,129.84,44.43666083,,"1,713","76,120"
4/30/22,129.84,42.31558514,,"1,803","76,295"
5/1/22,129.84,42.31558514,,"1,803","76,295"
5/2/22,130.18,42.31558514,,"1,803","76,295"
5/3/22,130.09,42.31558514,,"1,803","76,295"
5/4/22,129.97,42.31558514,,"1,803","76,295"
5/5/22,130.41,42.31558514,,"1,803","76,295"
5/6/22,130.35,42.31558514,,"1,803","76,295"
5/7/22,130.35,42.31558514,,"1,803","76,295"
5/8/22,130.35,42.31558514,,"1,803","76,295"
5/9/22,130.37,42.31558514,,"1,803","76,295"
5/10/22,130.21,42.31558514,,"1,803","76,295"
5/11/22,130.2,42.31558514,,"1,803","76,295"
5/12/22,128.1,42.31558514,,"1,803","76,295"
5/13/22,129.23,42.31558514,,"1,803","76,295"
5/14/22,129.23,42.31558514,,"1,803","76,295"
5/15/22,129.23,42.31558514,,"1,803","76,295"
5/16/22,129.15,42.31558514,,"1,803","76,295"
5/17/22,129.31,42.31558514,,"1,803","76,295"
5/18/22,128.22,42.31558514,,"1,803","76,295"
5/19/22,127.62,42.31558514,,"1,803","76,295"
5/20/22,127.86,42.31558514,,"1,803","76,295"
5/21/22,127.86,42.31558514,,"1,803","76,295"
5/22/22,127.86,42.31558514,,"1,803","76,295"
5/23/22,127.78,42.31558514,,"1,803","76,295"
5/24/22,126.56,42.31558514,,"1,803","76,295"
5/25/22,127.31,42.31558514,,"1,803","76,295"
5/26/22,127.23,42.31558514,,"1,803","76,295"
5/27/22,127.14,42.31558514,,"1,803","76,295"
5/28/22,127.14,42.31558514,,"1,803","76,295"
5/29/22,127.14,42.31558514,,"1,803","76,295"
5/30/22,127.14,42.31558514,,"1,803","76,295"
5/31/22,128.53,43.56642903,,"1,543","67,223"
6/1/22,130.09,43.56642903,,"1,543","67,223"
6/2/22,129.83,43.56642903,,"1,543","67,223"
6/3/22,130.71,43.56642903,,"1,543","67,223"
6/4/22,130.71,43.56642903,,"1,543","67,223"
6/5/22,130.71,43.56642903,,"1,543","67,223"
6/6/22,131.55,43.56642903,,"1,543","67,223"
6/7/22,132.53,43.56642903,,"1,543","67,223"
6/8/22,134.06,43.56642903,,"1,543","67,223"
6/9/22,134.06,43.56642903,,"1,543","67,223"
6/10/22,134.19,43.56642903,,"1,543","67,223"
6/11/22,134.19,43.56642903,,"1,543","67,223"
6/12/22,134.19,43.56642903,,"1,543","67,223"
6/13/22,134.12,43.56642903,,"1,543","67,223"
6/14/22,134.89,43.56642903,,"1,543","67,223"
6/15/22,134.5,43.56642903,,"1,543","67,223"
6/16/22,131.65,43.56642903,,"1,543","67,223"
6/17/22,135.14,43.56642903,,"1,543","67,223"
6/18/22,135.14,43.56642903,,"1,543","67,223"
6/19/22,135.14,43.56642903,,"1,543","67,223"
6/20/22,135.14,43.56642903,,"1,543","67,223"
6/21/22,136.25,43.56642903,,"1,543","67,223"
6/22/22,136.05,43.56642903,,"1,543","67,223"
6/23/22,134.72,43.56642903,,"1,543","67,223"
6/24/22,135.22,43.56642903,,"1,543","67,223"
6/25/22,135.22,43.56642903,,"1,543","67,223"
6/26/22,135.22,43.56642903,,"1,543","67,223"
6/27/22,135.26,43.56642903,,"1,543","67,223"
6/28/22,136.19,43.56642903,,"1,543","67,223"
6/29/22,136.5,43.56642903,,"1,543","67,223"
6/30/22,135.69,47.80076874,,"1,561","74,617"
7/1/22,135.09,47.80076874,,"1,561","74,617"
7/2/22,135.09,47.80076874,,"1,561","74,617"
7/3/22,135.09,47.80076874,,"1,561","74,617"
7/4/22,135.09,47.80076874,,"1,561","74,617"
7/5/22,135.72,47.80076874,,"1,561","74,617"
7/6/22,135.66,47.80076874,,"1,561","74,617"
7/7/22,135.99,47.80076874,,"1,561","74,617"
7/8/22,136.16,47.80076874,,"1,561","74,617"
7/9/22,136.16,47.80076874,,"1,561","74,617"
7/10/22,136.16,47.80076874,,"1,561","74,617"
7/11/22,137.29,47.80076874,,"1,561","74,617"
7/12/22,136.68,47.80076874,,"1,561","74,617"
7/13/22,137.34,47.80076874,,"1,561","74,617"
7/14/22,138.94,47.80076874,,"1,561","74,617"
7/15/22,138.57,47.80076874,,"1,561","74,617"
7/16/22,138.57,47.80076874,,"1,561","74,617"
7/17/22,138.57,47.80076874,,"1,561","74,617"
7/18/22,138.23,47.80076874,,"1,561","74,617"
7/19/22,137.94,47.80076874,,"1,561","74,617"
7/20/22,138.16,47.80076874,,"1,561","74,617"
7/21/22,137.94,47.80076874,,"1,561","74,617"
7/22/22,136.12,47.80076874,,"1,561","74,617"
7/23/22,136.12,47.80076874,,"1,561","74,617"
7/24/22,136.12,47.80076874,,"1,561","74,617"
7/25/22,136.72,47.80076874,,"1,561","74,617"
7/26/22,136.62,47.80076874,,"1,561","74,617"
7/27/22,137.31,47.80076874,,"1,561","74,617"
7/28/22,134.45,47.80076874,,"1,561","74,617"
7/29/22,133.25,47.80076874,,"1,561","74,617"
7/30/22,133.25,47.80076874,,"1,561","74,617"
7/31/22,133.25,53.26331145,,"1,371","73,024"
8/1/22,131.8,53.26331145,,"1,371","73,024"
8/2/22,132.32,53.26331145,,"1,371","73,024"
8/3/22,134.18,53.26331145,,"1,371","73,024"
8/4/22,133.28,53.26331145,,"1,371","73,024"
8/5/22,135.33,53.26331145,,"1,371","73,024"
8/6/22,135.33,53.26331145,,"1,371","73,024"
8/7/22,135.33,53.26331145,,"1,371","73,024"
8/8/22,134.73,53.26331145,,"1,371","73,024"
8/9/22,134.95,53.26331145,,"1,371","73,024"
8/10/22,132.58,53.26331145,,"1,371","73,024"
8/11/22,132.66,53.26331145,,"1,371","73,024"
8/12/22,133.57,53.26331145,,"1,371","73,024"
8/13/22,133.57,53.26331145,,"1,371","73,024"
8/14/22,133.57,53.26331145,,"1,371","73,024"
8/15/22,133.13,53.26331145,,"1,371","73,024"
8/16/22,134.38,53.26331145,,"1,371","73,024"
8/17/22,135.4,53.26331145,,"1,371","73,024"
8/18/22,135.29,53.26331145,,"1,371","73,024"
8/19/22,137.01,53.26331145,,"1,371","73,024"
8/20/22,137.01,53.26331145,,"1,371","73,024"
8/21/22,137.01,53.26331145,,"1,371","73,024"
8/22/22,137.57,53.26331145,,"1,371","73,024"
8/23/22,136.36,53.26331145,,"1,371","73,024"
8/24/22,136.92,53.26331145,,"1,371","73,024"
8/25/22,136.83,53.26331145,,"1,371","73,024"
8/26/22,137.07,53.26331145,,"1,371","73,024"
8/27/22,137.07,53.26331145,,"1,371","73,024"
8/28/22,137.07,53.26331145,,"1,371","73,024"
8/29/22,138.74,53.26331145,,"1,371","73,024"
8/30/22,138.73,53.26331145,,"1,371","73,024"
8/31/22,138.69,51.64850498,,"1,505","77,731"
9/1/22,139.93,51.64850498,,"1,505","77,731"
9/2/22,140.03,51.64850498,,"1,505","77,731"
9/3/22,140.03,51.64850498,,"1,505","77,731"
9/4/22,140.03,51.64850498,,"1,505","77,731"
9/5/22,140.03,51.64850498,,"1,505","77,731"
9/6/22,142.95,51.64850498,,"1,505","77,731"
9/7/22,144.39,51.64850498,,"1,505","77,731"
9/8/22,144.05,51.64850498,,"1,505","77,731"
9/9/22,142.44,51.64850498,,"1,505","77,731"
9/10/22,142.44,51.64850498,,"1,505","77,731"
9/11/22,142.44,51.64850498,,"1,505","77,731"
9/12/22,142.41,51.64850498,,"1,505","77,731"
9/13/22,144.3,51.64850498,,"1,505","77,731"
9/14/22,142.93,51.64850498,,"1,505","77,731"
9/15/22,143.57,51.64850498,,"1,505","77,731"
9/16/22,143.04,51.64850498,,"1,505","77,731"
9/17/22,143.04,51.64850498,,"1,505","77,731"
9/18/22,143.04,51.64850498,,"1,505","77,731"
9/19/22,143.34,51.64850498,,"1,505","77,731"
9/20/22,143.64,51.64850498,,"1,505","77,731"
9/21/22,144.14,51.64850498,,"1,505","77,731"
9/22/22,142.16,51.64850498,,"1,505","77,731"
9/23/22,143.18,51.64850498,,"1,505","77,731"
9/24/22,143.18,51.64850498,,"1,505","77,731"
9/25/22,143.18,51.64850498,,"1,505","77,731"
9/26/22,144.45,51.64850498,,"1,505","77,731"
9/27/22,144.71,51.64850498,,"1,505","77,731"
9/28/22,144.15,51.64850498,,"1,505","77,731"
9/29/22,144.45,51.64850498,,"1,505","77,731"
9/30/22,144.71,50.58373206,,"1,463","74,004"
10/1/22,144.71,50.58373206,,"1,463","74,004"
10/2/22,144.71,50.58373206,,"1,463","74,004"
10/3/22,144.5,50.58373206,,"1,463","74,004"
10/4/22,144.32,50.58373206,,"1,463","74,004"
10/5/22,144.73,50.58373206,,"1,463","74,004"
10/6/22,144.94,50.58373206,,"1,463","74,004"
10/7/22,145.19,50.58373206,,"1,463","74,004"
10/8/22,145.19,50.58373206,,"1,463","74,004"
10/9/22,145.19,50.58373206,,"1,463","74,004"
10/10/22,145.19,50.58373206,,"1,463","74,004"
10/11/22,145.55,50.58373206,,"1,463","74,004"
10/12/22,146.87,50.58373206,,"1,463","74,004"
10/13/22,147.15,50.58373206,,"1,463","74,004"
10/14/22,148.46,50.58373206,,"1,463","74,004"
10/15/22,148.46,50.58373206,,"1,463","74,004"
10/16/22,148.46,50.58373206,,"1,463","74,004"
10/17/22,148.71,50.58373206,,"1,463","74,004"
10/18/22,149.23,50.58373206,,"1,463","74,004"
10/19/22,149.77,50.58373206,,"1,463","74,004"
10/20/22,149.82,50.58373206,,"1,463","74,004"
10/21/22,146.35,50.58373206,,"1,463","74,004"
10/22/22,146.35,50.58373206,,"1,463","74,004"
10/23/22,146.35,50.58373206,,"1,463","74,004"
10/24/22,148.76,50.58373206,,"1,463","74,004"
10/25/22,147.85,50.58373206,,"1,463","74,004"
10/26/22,146.5,50.58373206,,"1,463","74,004"
10/27/22,146.02,50.58373206,,"1,463","74,004"
10/28/22,147.68,50.58373206,,"1,463","74,004"
10/29/22,147.68,50.58373206,,"1,463","74,004"
10/30/22,147.68,50.58373206,,"1,463","74,004"
10/31/22,148.63,53.48463687,,"1,432","76,590"
11/1/22,148.11,53.48463687,,"1,432","76,590"
11/2/22,147.11,53.48463687,,"1,432","76,590"
11/3/22,148.18,53.48463687,,"1,432","76,590"
11/4/22,147.22,53.48463687,,"1,432","76,590"
11/5/22,147.22,53.48463687,,"1,432","76,590"
11/6/22,147.22,53.48463687,,"1,432","76,590"
11/7/22,146.64,53.48463687,,"1,432","76,590"
11/8/22,145.38,53.48463687,,"1,432","76,590"
11/9/22,146.15,53.48463687,,"1,432","76,590"
11/10/22,141.78,53.48463687,,"1,432","76,590"
11/11/22,141.78,53.48463687,,"1,432","76,590"
11/12/22,141.78,53.48463687,,"1,432","76,590"
11/13/22,141.78,53.48463687,,"1,432","76,590"
11/14/22,140.43,53.48463687,,"1,432","76,590"
11/15/22,139.36,53.48463687,,"1,432","76,590"
11/16/22,139.59,53.48463687,,"1,432","76,590"
11/17/22,140.45,53.48463687,,"1,432","76,590"
11/18/22,140.03,53.48463687,,"1,432","76,590"
11/19/22,140.03,53.48463687,,"1,432","76,590"
11/20/22,140.03,53.48463687,,"1,432","76,590"
11/21/22,141.95,53.48463687,,"1,432","76,590"
11/22/22,141.29,53.48463687,,"1,432","76,590"
11/23/22,139.76,53.48463687,,"1,432","76,590"
11/24/22,139.76,53.48463687,,"1,432","76,590"
11/25/22,139.21,53.48463687,,"1,432","76,590"
11/26/22,139.21,53.48463687,,"1,432","76,590"
11/27/22,139.21,53.48463687,,"1,432","76,590"
11/28/22,138.67,53.48463687,,"1,432","76,590"
11/29/22,138.28,53.48463687,,"1,432","76,590"
11/30/22,139.31,50.71618781,,"1,427","72,372"
12/1/22,135.55,50.71618781,,"1,427","72,372"
12/2/22,134.89,50.71618781,,"1,427","72,372"
12/3/22,134.89,50.71618781,,"1,427","72,372"
12/4/22,134.89,50.71618781,,"1,427","72,372"
12/5/22,136.55,50.71618781,,"1,427","72,372"
12/6/22,136.67,50.71618781,,"1,427","72,372"
12/7/22,136.57,50.71618781,,"1,427","72,372"
12/8/22,136.45,50.71618781,,"1,427","72,372"
12/9/22,136.4,50.71618781,,"1,427","72,372"
12/10/22,136.4,50.71618781,,"1,427","72,372"
12/11/22,136.4,50.71618781,,"1,427","72,372"
12/12/22,137.47,50.71618781,,"1,427","72,372"
12/13/22,135.14,50.71618781,,"1,427","72,372"
12/14/22,134.95,50.71618781,,"1,427","72,372"
12/15/22,137.92,50.71618781,,"1,427","72,372"
12/16/22,136.55,50.71618781,,"1,427","72,372"
12/17/22,136.55,50.71618781,,"1,427","72,372"
12/18/22,136.55,50.71618781,,"1,427","72,372"
12/19/22,136.87,50.71618781,,"1,427","72,372"
12/20/22,131.08,50.71618781,,"1,427","72,372"
12/21/22,132.36,50.71618781,,"1,427","72,372"
12/22/22,132.34,50.71618781,,"1,427","72,372"
12/23/22,132.78,50.71618781,,"1,427","72,372"
12/24/22,132.78,50.71618781,,"1,427","72,372"
12/25/22,132.78,50.71618781,,"1,427","72,372"
12/26/22,132.78,50.71618781,,"1,427","72,372"
12/27/22,133.43,50.71618781,,"1,427","72,372"
12/28/22,134.27,50.71618781,,"1,427","72,372"
12/29/22,133.16,50.71618781,,"1,427","72,372"
12/30/22,131.81,50.71618781,,"1,427","72,372"
12/31/22,131.81,49.55711127,,"1,357","67,249"